id,name_eng,name_chin,description_eng,description_chin,expressive,analytic,driver,amiable,suitable_subjects,time_consumption,study_focus,Beginner,Intermediate,Advanced,beginner_suggestions_eng,beginner_suggestions_chin,intermediate_suggestions_eng,intermediate_suggestions_chin,advanced_suggestions_eng,advanced_suggestions_chin
1,Story-telling,故事講述法,Use narratives to enhance the memory of specific items/events.,使用故事來觸發特定項目/事件的記憶。,1,0,0,0,All,middle,"Reading and Comprehension Strategies, Memory Enhancement Techniques, Critical Thinking and Problem-Solving Approaches",1,1,1,Start with simple stories to remember facts.,從簡單的故事記住事實,Construct more complex narratives for advanced topics.,創作更複雜的敘事來記住高級主題,Incorporate various elements of storytelling to enhance memory recall.,結合多種故事講述元素來增強記憶回憶
2,Sonic/Textual,音韻/文本法,"Use rhythm and sounds for recall memory, useful for auditory learners.",使用重複的節奏和聲音來回憶記憶。適合聽覺學習者。,1,0,0,0,"Language, Music",low,"Memory Enhancement Techniques, Multisensory Learning Approaches",1,1,1,Use simple rhymes or rhythms.,使用簡單的韻律或節奏,Experiment with more complex sonic patterns.,嘗試更複雜的聲音模式,Create own rhythmic patterns for complex subjects.,創作自己的節奏模式來回憶較複雜的科目
3,Method of Loci,記憶宮殿法,"Visualize an imaginary walk, placing items to remember around the room.",想像一次虛構的步行，將要記住的內容放置在房間中。,1,0,0,0,All,middle,Memory Enhancement Techniques,1,1,1,Use simple items and fewer loci.,使用簡單的物品和較少的記憶地點,Increase complexity and number of loci.,增加複雜性和記憶地點的數量,Incorporate various sensory details for each locus.,為每個記憶地點增加多種感官刺激
4,Rote Learning,背誦式學習,Technique based on repetition.,使用簡單的短語觸發更長的信息列表。,0,1,1,0,All,middle,Memory Enhancement Techniques,1,1,1,Repetition of simple facts.,從簡單的短語開始,Increase the complexity of items to be memorized.,創作更複雜的短語和信息列表,Combine with other methods to avoid over-reliance on rote learning.,將非智力訊息與其他方法結合使用，以提高效果
5,Hidden message,隱藏信息法,Use a phrase to trigger memory of a longer list of information.,使用簡短的詞語觸發更長的信息列表。,1,1,0,0,All,low,Memory Enhancement Techniques,1,1,1,Use for memorizing simple lists.,用於記憶簡單的列表。,Use hidden messages for more complex lists or topics.,使用隱藏信息法來記憶更複雜的列表或主題。,Incorporate hidden messages into broader study strategies.,將隱藏信息法納入更大的學習策略中。
6,Spider Diagram,蜘蛛圖法,Identify key concepts and elaborate from the center. Add links to connect related concepts.,辨識關鍵概念，從中心概念展開並添加相關聯的概念連結。,0,1,0,0,All,high,"Visual Representation and Conceptualization Tools, Note-Taking and Organization Methods",1,1,1,Create diagrams with main concepts and few links.,創建簡單的蜘蛛圖,Include more details and connections in diagrams.,包含更多細節和聯繫的蜘蛛圖,Create complex diagrams with multiple layers and connections.,創建複雜的蜘蛛圖與多個層次和聯繫
7,Black-Red-Green Method,黑紅綠法,"Categorize tasks or information into 'Must be done', 'Subtle signals', and 'Requires input'.",將任務或信息分為「必須完成」、「細微信號」和「需要輸入」三類。,0,0,1,0,All,low,Critical Thinking and Problem-Solving Approaches,1,1,1,Categorize simple tasks or facts.,分類簡單的任務或事實,Use for complex tasks or extensive study materials.,使用於較為複雜的任務或廣泛的學習材料,Incorporate into a larger organizational system.,結合到更大的組織系統中
8,REAP Method,REAP法,"A systematic approach to study: Read, Encode, Annotate, and Ponder.",一種系統化的學習方法：閱讀、提煉、註釋和思考。,0,1,1,0,All,middle,"Reading and Comprehension Strategies, Note-Taking and Organization Methods",1,1,1,Apply REAP to simple texts or topics.,適用於簡單的文本或主題,Incorporate more complex materials in REAP.,將更複雜的材料納入REAP法中,Extend the 'Ponder' stage with further research or discussion.,擴展「思考」階段以進行更多研究或討論
9,PQRST Method,PQRST法,"Preview, Question, Read, Summarize, and Test as a study approach.",預覽、提問、閱讀、概述和測試的學習方法。,0,1,1,0,All,high,"Reading and Comprehension Strategies, Critical Thinking and Problem-Solving Approaches",1,1,1,Apply PQRST to simple texts or topics.,適用於簡單的文本或主題,Incorporate more complex materials in PQRST.,將更複雜的材料納入PQRST法中,Tailor the PQRST process to suit individual study habits.,根據個人學習習慣調整PQRST的步驟
10,Flashcards,抽認卡,Use flashcards with a question on the front and answer on the back for repetition and recall.,在卡片的正面寫上問題，背面寫上正確答案，反覆進行問答並核對答案。,0,1,1,0,All,middle,"Memory Enhancement Techniques, Active Learning Strategies",1,1,1,Use flashcards for simple facts or vocab.,創建簡單的問題和答案,Use flashcards for more complex concepts or equations.,創建更複雜的問題和答案,Create flashcards for self-testing and spaced repetition.,使用問題手卡進行自我測試和間隔複習
11,Pomodoro Method,番茄工作法,"Use a timer to work for 25 minutes, then rest for 5 minutes. This helps maintain focus and productivity.",利用計時器工作25分鐘，然後休息5分鐘。有助於保持專注和提高生產力。,0,0,1,0,All,middle,Time Management and Productivity Methods,1,1,1,Adjust to the structure of the Pomodoro technique.,適應番茄工作法的結構,Estimate how many pomodoros a task will take.,估計每個番茄工作法任務所需的時間,Adjust Pomodoro periods to optimize personal productivity.,調整番茄工作法的時長以優化個人生產力
12,To-Do List Method,待辦事項清單,Create daily to-do lists the night before. This enables an immediate productive start to the day.,在前一天晚上建立每日待辦事項清單，以實現即刻的高效工作。,0,1,1,0,All,low,Time Management and Productivity Methods,1,1,1,Prioritize tasks and complete the most important ones.,優先處理任務並完成最重要的任務,Break down tasks into sub-tasks for efficient planning.,將任務分解為子任務以進行有效的規劃,Review productivity and make adjustments based on completed tasks.,根據已完成的任務回顧生產力並進行調整
13,Sandwich Memory Method,三文治記憶法,"Recite study materials before bed and after waking up, utilizing the brain's organizing power during sleep.",在睡前和醒來後朗讀學習材料，利用睡眠期間大腦的整理功能。,0,1,0,0,All,low,"Memory Enhancement Techniques, Metacognition and Reflective Practices, Time Management and Productivity Methods",0,1,1,N/A,N/A,Start with simple concepts or facts.,從簡單的概念或事實開始,Incorporate more complex materials or multiple subjects.,運用於更複雜的材料或多個科目
14,Clean and Concentration Method,整理與專注法,"Study in a clean, distraction-free environment. Location should be chosen to encourage focus.",在無干擾的整潔環境中學習，選擇能夠促進專注力的地點。,0,0,1,0,All,low,"Study Environment Preparation, Time Management and Productivity Methods",1,1,1,Remove clear distractions from the study area.,清除學習區域中明顯的干擾因素,Set specific study hours during the day.,設定每天的特定學習時間,Experiment with different environments to optimize focus and productivity.,嘗試不同的環境以最佳化專注力和生產力
15,Diet Control,飲食控制,Maintain a balanced diet to ensure energy and focus. Avoid excessive carbohydrates to prevent energy crashes.,保持均衡飲食，確保有足夠的能量和專注力。避免過多攝入碳水化合物，以防止能量崩潰。,0,0,0,1,All,low,Study Environment Preparation,1,1,1,Understand the importance of a balanced diet.,了解均衡飲食的重要性,Plan meals around study schedule.,根據學習時間表安排膳食,Experiment with different diet types to find what works best for productivity.,嘗試不同的飲食類型，找出最適合提高生產力的方法
16,Image Memory Method,圖像記憶法,Memorize one page of notes as one image. This method is effective for visual learners.,以圖像形式記憶一頁的筆記。這對視覺學習者特別有效。,0,1,0,0,All,low,"Memory Enhancement Techniques, Visual Representation and Conceptualization Tools",0,1,1,N/A,N/A,Start with simple diagrams and images.,從簡單的圖表和圖像開始,"Experiment with more complex images, diagrams, or infographics.",嘗試更複雜的圖像、圖表或信息圖
17,How to tidy up your notes/past papers/resources,整理筆記/歷届試題/資料,"Organize resources by sources, subjects, and topics for quick access during revision.",將資源按來源（學校/補習班）分類，再按科目和主題進行整理，以便在復習時快速找到所需資源。,0,1,1,0,All,low,"Note-Taking and Organization Methods, Study Environment Preparation",1,1,1,Organize simple resources and notes.,將簡單的資源和筆記進行整理。,Develop a more detailed organization system.,開發更詳細的組織系統。,Continuously review and adapt the system as necessary.,持續審查和調整系統以適應需要。
18,Diagrams,圖解,Use diagrams to help learn and understand concepts. It provides a visual representation to aid memory.,使用圖表幫助學習和理解概念。它提供了視覺化的表達方式，有助於記憶。,0,1,0,0,"Science, Maths",low,"Visual Representation and Conceptualization Tools, Note-Taking and Organization Methods",1,1,1,Learn to draw simple diagrams.,學習繪製簡單的圖表,Learn to interpret complex diagrams.,學習解讀複雜的圖表,Create own diagrams to illustrate complex concepts.,創建自己的圖表以說明複雜的概念
19,Sticky Notes Method,便利貼法,"Cover a page in sticky notes with relevant information, then incorporate these into your notes.",用便利貼覆蓋一頁的內容，然後將其融入筆記中。,1,0,0,0,All,low,"Note-Taking and Organization Methods, Memory Enhancement Techniques",0,1,1,N/A,N/A,Start with using sticky notes for main points.,使用便利貼記錄主要觀點,"Use sticky notes to add supplementary information, questions, or insights.",使用便利貼添加補充信息、問題或見解
20,Summary Notes,摘要筆記,Summarize notes into main points with examples. It provides an overview and quick revision method.,將筆記縮寫為主要觀點和示例。提供一個概述和快速複習的方法。,0,1,1,0,All,low,Note-Taking and Organization Methods,1,1,1,Summarize main points from texts.,從文本中摘錄主要觀點,Include examples to support points.,為每個觀點提供至少一個例子,Use summary notes for active recall practice.,將摘要筆記用於主動回憶練習
21,Topic Past Paper Questions,歷届試題,Practice past paper questions for each topic after revision and track progress.,在復習每個主題後進行過去試題練習並追踪進度。,0,1,0,0,All,low,Active Learning Strategies,1,1,1,Practice past questions after learning each topic.,在學習每個主題後進行過去試題練習,Review and understand mistakes made in past questions.,詳細了解並修正錯誤答案,Analyze patterns in mistakes and address them.,分析錯誤模式並加以處理
22,Spaced Repetition,間隔重複法,Review new concepts at increasing intervals. This aids long-term memory retention.,在遞增的間隔中複習新概念。有助於長期記憶保持。,0,1,1,0,All,middle,"Memory Enhancement Techniques, Active Learning Strategies",1,1,1,Practice this method with simple facts.,適應簡單事實的間隔複習,Incorporate complex concepts in the practice.,將複雜概念納入複習中,Experiment with the length of intervals for optimal learning.,根據個人學習習慣調整間隔時長
23,Active Spaced Repetition,主動間隔重複法,Actively recall content before reviewing it at spaced intervals. Helps identify weak areas.,在進行間隔複習之前，主動回憶內容。有助於識別薄弱領域。,0,1,1,0,All,middle,"Memory Enhancement Techniques, Active Learning Strategies",1,1,1,Start with recalling simple facts.,從簡單事實開始主動回憶,Incorporate complex concepts in the practice.,在複習中納入較複雜的概念,Review performance trends and adjust study strategies accordingly.,檢視績效趨勢並根據需要調整學習策略
24,Analysing texts,文本分析法,Use TEAPCALIM acronym to analyze texts. It aids in understanding and interpreting texts.,使用TEAPCALIM縮寫來分析文本。有助於理解和解讀文本。,0,1,0,0,Language,low,Critical Thinking and Problem-Solving Approaches,0,1,1,N/A,N/A,Start with analyzing simpler texts.,從分析簡單文本開始,Analyze complex texts and extract deeper meanings.,分析複雜文本並提取更深層含義
25,Vocab Book,詞匯本,Store useful vocab for language learning. It aids in expanding vocabulary.,儲存有用的單詞，以擴大詞彙量。,1,0,0,0,Language,low,"Reading and Comprehension Strategies, Memory Enhancement Techniques",1,1,1,Store new words and their meanings.,儲存新單詞及其意思,Add synonyms and category tags.,添加同義詞和分類標籤,Include sample sentences and related topics.,包含例句和相關主題
26,Question Booklet,錯題簿,"Keep track of questions you got wrong in past papers, understand why and correct them.",記錄在過去試卷中回答錯誤的問題，理解錯誤的原因並進行糾正。,0,1,1,0,All,low,"Note-Taking and Organization Methods, Memory Enhancement Techniques",1,1,1,Keep a record of incorrect answers.,記錄答錯的問題,Understand the mistakes and correct answers.,理解錯誤和正確的解答方法,Review trends in mistakes and address them.,回顧錯誤模式並進行修正
27,White Board Active Recalling,白板主動回憶法,Use a whiteboard to write and recall something you want to remember.,使用白板寫下要記住的內容，盡量用最少的字數，然後回憶已寫下的內容。,1,0,0,0,All,middle,Memory Enhancement Techniques,1,1,1,Write simple facts or concepts and recall them.,寫下簡單事實或概念並回憶,Include more complex concepts or facts.,包含更複雜的概念或事實,Use this method for group study and discussion.,用於團體學習和討論
